Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 19:00:00+00:00,8.025091119634453e-06,8.045040885917842e-06,8.013264050532598e-06,8.04297269496601e-06,0,0.0,0.0
2023-01-02 20:00:00+00:00,8.044567039178219e-06,8.06360003480222e-06,8.015554158191662e-06,8.036558028834406e-06,0,0.0,0.0
2023-01-02 21:00:00+00:00,8.022890142456163e-06,8.048038580454886e-06,8.016780157049652e-06,8.022466317925137e-06,0,0.0,0.0
2023-01-02 22:00:00+00:00,8.019852430152241e-06,8.056636033870745e-06,8.015153980522882e-06,8.022941074159462e-06,7703,0.0,0.0
2023-01-02 23:00:00+00:00,8.029225682548713e-06,8.056040314841084e-06,8.00471389084123e-06,8.005571544345003e-06,0,0.0,0.0
2023-01-03 00:00:00+00:00,8.003934453881811e-06,8.030569915717933e-06,7.992203791218344e-06,7.993789040483534e-06,0,0.0,0.0
2023-01-03 01:00:00+00:00,7.990221092768479e-06,8.02861904958263e-06,7.98896962805884e-06,8.001342393981759e-06,8581,0.0,0.0
2023-01-03 02:00:00+00:00,8.005274139577523e-06,8.02644353825599e-06,7.989430741872638e-06,7.992892278707586e-06,5735,0.0,0.0
2023-01-03 03:00:00+00:00,7.997894499567337e-06,8.026501745916903e-06,7.991263373696711e-06,8.01549686002545e-06,14652,0.0,0.0
2023-01-03 04:00:00+00:00,8.010508281586226e-06,8.022792826523073e-06,7.968136742420029e-06,7.978799658303615e-06,20289,0.0,0.0
2023-01-03 05:00:00+00:00,7.986019227246288e-06,8.007014912436716e-06,7.973211722855922e-06,7.987707249412779e-06,19274,0.0,0.0
2023-01-03 06:00:00+00:00,7.98544078861596e-06,8.007573342183605e-06,7.96984022599645e-06,7.998921319085639e-06,0,0.0,0.0
2023-01-03 07:00:00+00:00,7.998445653356612e-06,8.06201933301054e-06,7.998445653356612e-06,8.012291800696403e-06,0,0.0,0.0
2023-01-03 08:00:00+00:00,8.050289579841774e-06,8.05976287665544e-06,8.008111763047054e-06,8.014249033294618e-06,17438,0.0,0.0
