Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2024-09-23 04:00:00+00:00,3.3619991882005706e-05,3.36892408085987e-05,3.331145126139745e-05,3.331764673930593e-05,76999,0.0,0.0,3.317252267152071e-05,3.3222422498511154e-05,67.48525478990365,2.489353933096427e-07
2024-09-23 05:00:00+00:00,3.338469105074182e-05,3.353678766870871e-05,3.3295771572738886e-05,3.353678766870871e-05,0,0.0,0.0,3.323924865981098e-05,3.3232815985684284e-05,70.01660386027083,2.481216060846136e-07
2024-09-23 06:00:00+00:00,3.3474250813014805e-05,3.355754597578198e-05,3.3415071811759844e-05,3.355569060659036e-05,0,0.0,0.0,3.3298699418082836e-05,3.3248920226469635e-05,68.73986309789012,2.4530028397285003e-07
2024-09-23 07:00:00+00:00,3.347798337927088e-05,3.347798337927088e-05,3.324476347188465e-05,3.325672514620237e-05,101728,0.0,0.0,3.334801440360025e-05,3.325687270262279e-05,56.32974081031041,1.607739593454925e-07
2024-09-23 08:00:00+00:00,3.3228363463422284e-05,3.3228363463422284e-05,3.299298987258226e-05,3.301390097476542e-05,186233,0.0,0.0,3.3329935104120525e-05,3.3257645773119295e-05,53.66215865509386,1.878209582347947e-07
2024-09-23 09:00:00+00:00,3.308952727820724e-05,3.327101148897782e-05,3.307839870103635e-05,3.322599150124006e-05,0,0.0,0.0,3.333056265546475e-05,3.3261285425396635e-05,57.242130657545026,1.8742183317024256e-07
2024-09-23 10:00:00+00:00,3.325761645101011e-05,3.325761645101011e-05,3.308979285066016e-05,3.3255255402764305e-05,0,0.0,0.0,3.333459098939784e-05,3.3264469966525215e-05,56.129954985015225,1.8507962686981017e-07
2024-09-23 11:00:00+00:00,3.325389843666926e-05,3.344734068377875e-05,3.315012145321816e-05,3.344734068377875e-05,45041,0.0,0.0,3.33525902533438e-05,3.326540987472981e-05,64.28601832117698,1.865598978685718e-07
2024-09-23 12:00:00+00:00,3.3432723284931853e-05,3.3468786568846554e-05,3.3110689400928095e-05,3.3110689400928095e-05,51599,0.0,0.0,3.33345822582487e-05,3.326446902065072e-05,48.17274958811492,2.012993015119146e-07
2024-09-23 13:00:00+00:00,3.3120908483397216e-05,3.332299820613116e-05,3.3120908483397216e-05,3.332013147883117e-05,166110,0.0,0.0,3.3304015960311514e-05,3.326357989863027e-05,52.02199418645538,1.7344674912245489e-07
2024-09-23 14:00:00+00:00,3.334254142828286e-05,3.3680000342428684e-05,3.334254142828286e-05,3.353897773195058e-05,497378,0.0,0.0,3.332614905957598e-05,3.326354155433364e-05,56.00637176353798,1.8881986365481833e-07
2024-09-23 15:00:00+00:00,3.35346776410006e-05,3.366407327121124e-05,3.339188333484344e-05,3.366407327121124e-05,174727,0.0,0.0,3.3338877619826236e-05,3.326631558593362e-05,57.16135726340813,2.0792104668389107e-07
2024-09-23 16:00:00+00:00,3.361826020409353e-05,3.366609234944917e-05,3.3364009141223505e-05,3.3364009141223505e-05,127288,0.0,0.0,3.331970947328955e-05,3.3259238480241036e-05,51.2020137850657,1.940876086859137e-07
2024-09-23 17:00:00+00:00,3.332787673571147e-05,3.3410742616979405e-05,3.3284566598013043e-05,3.340474722790532e-05,36666,0.0,0.0,3.333451168145985e-05,3.3255823000217786e-05,45.98425717250359,1.9439459845978239e-07
2024-09-23 18:00:00+00:00,3.340631155879237e-05,3.3592623367439955e-05,3.339776958455332e-05,3.358024696353823e-05,0,0.0,0.0,3.3391146280337126e-05,3.3256199094466866e-05,55.01220015192904,1.7179547429825193e-07
2024-09-23 19:00:00+00:00,3.353705687914044e-05,3.353705687914044e-05,3.343687058077194e-05,3.346369703649543e-05,33037,0.0,0.0,3.3414916833862664e-05,3.325432124256622e-05,48.54807168367605,1.6260390999662397e-07
2024-09-23 20:00:00+00:00,3.3410942705813795e-05,3.3462842111475766e-05,3.335973815410398e-05,3.341262709000148e-05,0,0.0,0.0,3.343065400258638e-05,3.325299796415493e-05,47.19393762085869,1.5275149370715875e-07
2024-09-23 21:00:00+00:00,3.337470116093755e-05,3.3438587706768885e-05,3.3266613172600046e-05,3.3438587706768885e-05,169174,0.0,0.0,3.342977870488539e-05,3.325193254568148e-05,53.99490467848968,1.5267030794060005e-07
2024-09-23 22:00:00+00:00,3.344380820635706e-05,3.344380820635706e-05,3.3373016776749864e-05,3.342712443554774e-05,0,0.0,0.0,3.3461422208347355e-05,3.3248822219320573e-05,60.1041496167778,1.0432319145191702e-07
2024-09-23 23:00:00+00:00,3.3386426366632804e-05,3.345888399053365e-05,3.3353237085975707e-05,3.345888399053365e-05,0,0.0,0.0,3.34752974595176e-05,3.324720353703015e-05,56.2454756715518,9.193482040404308e-08
2024-09-24 00:00:00+00:00,3.347777601447888e-05,3.3500808058306575e-05,3.325153738842346e-05,3.325153738842346e-05,0,0.0,0.0,3.344655342516489e-05,3.323683704365976e-05,49.9089869589533,1.1245705256017914e-07
